transaction_id,sender_id,recipient_id,transaction_type,amount,location,payment_method,sender_iban_x,recipient_iban_x,balance_after,description,timestamp,sender_signature,recipient_signature,sender_user_idx_sig,recipient_user_idx_sig,sender_user_idx_iban,recipient_user_idx_iban,sender_user_idx,recipient_user_idx,sender_link_score,recipient_link_score,sender_first_name,sender_last_name,sender_user_full_name,sender_full_name_norm,sender_residence_city,sender_residence_lat,sender_residence_lng,sender_salary,sender_job,sender_iban_y,sender_user_signature,recipient_first_name,recipient_last_name,recipient_user_full_name,recipient_full_name_norm,recipient_residence_city,recipient_residence_lat,recipient_residence_lng,recipient_salary,recipient_job,recipient_iban_y,recipient_user_signature,city_lat,city_lng,latest_gps_lat,latest_gps_lng,latest_gps_timestamp,sender_comm_mentions,recipient_comm_mentions,audio_link_count,audio_recent_event_hours,amount_robust_z_sender,amount_robust_z_recipient,sender_median,sender_std,sender_mad,recipient_median,recipient_std,recipient_mad,ref_sender_amount_robust_z,ref_recipient_amount_robust_z,pair_key,pair_seen_in_reference,new_sender_recipient_pair,new_payment_method_for_sender,new_transaction_type_for_sender,payment_method_seen_by_sender_ref,transaction_type_seen_by_sender_ref,unseen_transaction_type_indicator,unseen_payment_method_indicator,description_present,description_length,description_keyword_hits,txn_count_past_1h,txn_count_past_24h,txn_count_past_7d,time_since_prev_txn_seconds,burst_count_10min,hour_rarity,weekday_rarity,reference_hour_rarity,reference_weekday_rarity,distance_from_residence_km,distance_from_latest_gps_km,geo_novelty,reference_geo_novelty,unseen_location_pattern_indicator,suspicious_communication_window_score,comm_events_past_7d,audio_activity_score,audio_proximity_score,recent_audio_event_by_linked_user,iso_anomaly_score,lof_anomaly_score,novelty_score,transaction_behavior_score,transaction_behavior_reason,temporal_sequence_score,temporal_sequence_reason,geospatial_score,geospatial_reason,communication_risk_score,communication_risk_reason,audio_context_score,audio_context_reason,novelty_drift_score,novelty_drift_reason,final_risk_score,top_risk_reasons,flagged,threshold_used
eeea3b3f-65bf-4b79-a0b4-3b1b688e0d2f,BLND-MÉAI-7FE-PAR-1,ACCTR56254,transfer,1422.91,,,FR90R8489055650539701833516,IT14A6829753453405712456838805,20142.11,Office furniture supplier payment,2087-04-07 15:11:00+00:00,BLND-MÉAI,,,,1.0,,1.0,,0.95,0.0,Aimée,Blondel,Aimée Blondel,aimée blondel,Paris,48.8567,2.3522,29500.0,Administrative Assistant,FR90R8489055650539701833516,BLND-MAIE,,,,,,,,,,,,,,,,,64,102,0,,16.9432121370279,17.359784110872532,99.355,269.1375554472154,52.69,104.39,318.18600339905646,51.230000000000004,16.9432121370279,17.359784110872532,"('BLND-MÉAI-7FE-PAR-1', 'ACCTR56254')",1,0,0,0,0,1,0,1,1,33,0,0.0,2.0,8.0,0.0,0.0,0.9429846306395637,0.8606841844323252,0.9429846306395637,0.8606841844323252,,,0.0,0.0,0,0.9812618877428532,3.0,0.0,0.0,0.0,0.3950811737912249,0.023670593049116073,0.2093758834201705,0.6409375883420171,sender_amount_outlier;recipient_amount_outlier;sender_vs_reference_outlier;recipient_vs_reference_outlier,0.5200193356470005,rapid_sequence;unusual_hour;unusual_weekday;rare_vs_reference_hour,0.0,geo_consistent,0.9812618877428532,"mail:heuristic_mail: kw=5, domain=2, url=1",0.0,no_audio_context,0.3579115242388148,stable_profile,0.4856644500202455,"mail:heuristic_mail: kw=5, domain=2, url=1 | sender_amount_outlier;recipient_amount_outlier;sender_vs_reference_outlier;recipient_vs_reference_outlier | rapid_sequence;unusual_hour;unusual_weekday;rare_vs_reference_hour",True,0.35
90a84065-9df4-4195-9c03-d4b638ee5cc3,CHVN-GBRL-7CA-NAN-0,ORGSR47237,transfer,570.69,,,FR33E7587255626666556950495,IT74O3080741831941911001745014,7983.84,Home insurance premium,2087-01-20 17:16:31+00:00,CHVN-GBRL,,10.0,,10.0,,10.0,,0.95,0.0,Gabriel,Chauvin,Gabriel Chauvin,gabriel chauvin,Nantes,47.2181,-1.5528,26300.0,Retired,FR33E7587255626666556950495,CHVN-GBRL,,,,,,,,,,,,,,47.2073,-1.5991,2087-01-19 00:26:59+00:00,64,102,0,,5.341220498659953,3.1473871101440274,83.17,205.54630858487198,61.565,120.35,393.2570921547379,96.50999999999999,5.341220498659953,3.1473871101440274,"('CHVN-GBRL-7CA-NAN-0', 'ORGSR47237')",1,0,0,0,0,1,0,1,1,22,0,0.0,2.0,4.0,0.0,0.0,0.9340604858701042,0.8606841844323252,0.9340604858701042,0.8606841844323252,,,0.0,0.0,0,0.9845306215029486,1.0,0.0,0.0,0.0,0.28858178212590585,0.0361576335370093,0.16236970783145757,0.4858995826152043,sender_amount_outlier;sender_vs_reference_outlier;unseen_method_in_reference,0.5024129895884978,rapid_sequence;unusual_hour;unusual_weekday;rare_vs_reference_hour,0.0,geo_consistent,0.9845306215029486,"mail:heuristic_mail: kw=5, domain=1, url=1",0.0,no_audio_context,0.23236789737024985,stable_profile,0.4218298281917893,"mail:heuristic_mail: kw=5, domain=1, url=1 | rapid_sequence;unusual_hour;unusual_weekday;rare_vs_reference_hour | sender_amount_outlier;sender_vs_reference_outlier;unseen_method_in_reference",True,0.35
e1e969f9-1a46-49f5-b8f2-e566f03999cf,SHPH-DNLA-7D2-LON-0,HOME80202,transfer,1040.33,,,IT21Z9432879852161103520385750,IT95L6319230532033137130893824,3301.46,Rent payment Apr - Appartamenti Italia,2087-04-07 16:45:56+00:00,SHPH-DNLA,,6.0,,,,6.0,,0.7,0.0,Daniel,Shepherd,Daniel Shepherd,daniel shepherd,London,51.5072,-0.1275,44000.0,Retired,GB14R4522140264953616778153,SHPH-DNLA,,,,,,,,,,,,,,51.535,-0.1881,2087-04-06 19:58:36+00:00,66,102,0,,17.330179149269313,-0.0452689998799387,55.76,273.3459051155266,38.31999999999999,1043.125,287.4393373418384,41.64500000000004,17.330179149269313,-0.0452689998799387,"('SHPH-DNLA-7D2-LON-0', 'HOME80202')",1,0,0,0,0,1,0,1,1,38,0,0.0,0.0,4.0,0.0,0.0,0.9449677739216659,0.8606841844323252,0.9449677739216659,0.8606841844323252,,,0.0,0.0,1,0.9599335614829937,1.0,0.0,0.0,0.0,0.3882196080592309,0.0026481046062201497,0.19543385633272553,0.40135414562847005,sender_amount_outlier;sender_vs_reference_outlier;unseen_method_in_reference,0.4693763014377789,rapid_sequence;unusual_hour;unusual_weekday;rare_vs_reference_hour,0.1,unseen_reference_location,0.9599335614829937,"mail:heuristic_mail: kw=5, domain=2, url=1",0.0,no_audio_context,0.3304532174575253,stable_profile,0.4208555937711304,"mail:heuristic_mail: kw=5, domain=2, url=1 | rapid_sequence;unusual_hour;unusual_weekday;rare_vs_reference_hour | sender_amount_outlier;sender_vs_reference_outlier;unseen_method_in_reference",True,0.35
91ae1cbb-06ed-4358-8d7d-dedda285b86b,BLND-MÉAI-7FE-PAR-1,ABIT44229,transfer,875.7,,,FR90R8489055650539701833516,IT98S1450308470404410827760394,19266.41,Rent payment Apr - Home Living Paris,2087-04-07 18:53:43+00:00,BLND-MÉAI,,,,1.0,,1.0,,0.95,0.0,Aimée,Blondel,Aimée Blondel,aimée blondel,Paris,48.8567,2.3522,29500.0,Administrative Assistant,FR90R8489055650539701833516,BLND-MAIE,,,,,,,,,,,,,,,,,64,102,0,,9.938217925602581,0.5882462315719738,99.355,269.1375554472154,52.69,849.375,281.0252831660728,30.185000000000002,9.938217925602581,0.5882462315719738,"('BLND-MÉAI-7FE-PAR-1', 'ABIT44229')",1,0,0,0,0,1,0,1,1,36,0,0.0,4.0,10.0,13363.0,0.0,0.9365394149727317,0.8606841844323252,0.9365394149727317,0.8606841844323252,,,0.0,0.0,0,0.9319550649681482,3.0,0.0,0.0,0.0,0.2900745030646108,0.035250869889245626,0.16266268647692822,0.41979611791057175,sender_amount_outlier;sender_vs_reference_outlier;unseen_method_in_reference,0.5610074143566904,rapid_sequence;unusual_hour;unusual_weekday;rare_vs_reference_hour,0.0,geo_consistent,0.9319550649681482,"mail:heuristic_mail: kw=5, domain=2, url=1",0.0,no_audio_context,0.2793132869130896,stable_profile,0.4146043511341861,"mail:heuristic_mail: kw=5, domain=2, url=1 | rapid_sequence;unusual_hour;unusual_weekday;rare_vs_reference_hour | sender_amount_outlier;sender_vs_reference_outlier;unseen_method_in_reference",True,0.35
cfc07573-ad6c-4324-b5e3-88c8216ed912,SPNC-SRAA-7F1-IND-0,TRDSV52147,transfer,1380.69,,,US86K4608896011535163593949,IT62J6384236784704268358679766,31712.46,Savings deposit,2087-03-13 12:04:16+00:00,SPNC-SRAA,,7.0,,7.0,,7.0,,0.95,0.0,Sara,Spencer,Sara Spencer,sara spencer,Indianapolis,39.7771,-86.1458,46700.0,Retail Entrepreneur,US86K4608896011535163593949,SPNC-SRAA,,,,,,,,,,,,,,39.7834,-86.1844,2087-03-13 01:09:43+00:00,62,102,0,,9.902348803459304,5.825589818276672,141.465,320.37287869184985,84.41000000000001,387.36,358.30796845587224,115.00999999999999,9.902348803459304,5.825589818276672,"('SPNC-SRAA-7F1-IND-0', 'TRDSV52147')",1,0,0,0,0,1,0,1,1,15,0,2.0,2.0,12.0,0.0,0.0,0.9439762022806147,0.8438274665344572,0.9439762022806147,0.8438274665344572,,,0.0,0.0,1,0.6875863198107398,7.0,0.0,0.0,0.0,0.5762732184068973,0.034807205969892716,0.305540212188395,0.6435776139499064,sender_amount_outlier;recipient_amount_outlier;sender_vs_reference_outlier;recipient_vs_reference_outlier,0.5941750123946455,rapid_sequence;unusual_hour;unusual_weekday;rare_vs_reference_hour,0.1,unseen_reference_location,0.04221048530731779,"sms:heuristic_sms: kw=0, domain=0, url=1",0.0,no_audio_context,0.43170302886895934,stable_profile,0.3706862656820674,sender_amount_outlier;recipient_amount_outlier;sender_vs_reference_outlier;recipient_vs_reference_outlier | rapid_sequence;unusual_hour;unusual_weekday;rare_vs_reference_hour | stable_profile,True,0.35
41e6971e-f4a3-40bd-852c-7ce368fd2ba6,PRKR-JLUI-7D4-AUR-0,,transfer,1112.5,,,US73J9650405635383123411206,IT33P9835241233456932089164864,5969.81,Pensioner rent payment,2087-02-28 11:38:33+00:00,PRKR-JLUI,,3.0,,3.0,,3.0,,0.95,0.0,Julie,Parker,Julie Parker,julie parker,Aurora,39.7083,-104.7237,26700.0,Retired,US73J9650405635383123411206,PRKR-JLUI,,,,,,,,,,,,,,39.667,-104.7015,2087-02-27 11:06:36+00:00,133,102,0,,11.119002297090352,22.649584084796707,89.865,209.3947668000958,62.035,51.21,206.77583541379343,31.605,11.119002297090352,22.649584084796707,"('PRKR-JLUI-7D4-AUR-0', '')",1,0,0,0,0,1,0,1,1,22,0,0.0,2.0,6.0,0.0,0.0,0.9439762022806147,0.8562221120475955,0.9439762022806147,0.8562221120475955,,,0.0,0.0,0,0.7222570139776748,7.0,0.0,0.0,0.0,0.5806735446281878,0.03292853104526572,0.30680103783672674,0.6506801037836727,sender_amount_outlier;recipient_amount_outlier;sender_vs_reference_outlier;recipient_vs_reference_outlier,0.5116623698562222,rapid_sequence;unusual_hour;unusual_weekday;rare_vs_reference_hour,0.0,geo_consistent,0.30334794587062347,"mail:heuristic_mail: kw=2, domain=0, url=1",0.0,no_audio_context,0.33226322146981474,stable_profile,0.3693823269925478,sender_amount_outlier;recipient_amount_outlier;sender_vs_reference_outlier;recipient_vs_reference_outlier | rapid_sequence;unusual_hour;unusual_weekday;rare_vs_reference_hour | stable_profile,True,0.35
2709cd8e-da4f-4d15-bf70-70092deaab0a,CHVN-GBRL-7CA-NAN-0,HOME51512,transfer,660.2,,,FR33E7587255626666556950495,IT40J3137802786087101712805479,8849.52,Rent payment Jan - Residenze Milano Nantes,2087-01-03 10:14:26+00:00,CHVN-GBRL,,10.0,,10.0,,10.0,,0.95,0.0,Gabriel,Chauvin,Gabriel Chauvin,gabriel chauvin,Nantes,47.2181,-1.5528,26300.0,Retired,FR33E7587255626666556950495,CHVN-GBRL,,,,,,,,,,,,,,47.1938,-1.5171,2087-01-02 09:20:29+00:00,64,102,0,,6.321883131649477,0.6938116611989271,83.17,205.54630858487198,61.565,625.71,227.68091376569495,33.52999999999997,6.321883131649477,0.6938116611989271,"('CHVN-GBRL-7CA-NAN-0', 'HOME51512')",1,0,1,1,0,1,0,1,1,42,0,2.0,2.0,2.0,0.0,0.0,0.9286068418443233,0.8562221120475955,0.9286068418443233,0.8562221120475955,,,1.0,0.30887456618740705,1,0.0,0.0,0.0,0.0,0.0,0.602924643850525,0.016109268628173898,0.30951695623934944,0.568704162071892,sender_amount_outlier;sender_vs_reference_outlier;new_payment_method;unseen_method_in_reference,0.5528958849776897,rapid_sequence;unusual_hour;unusual_weekday;rare_vs_reference_hour,0.30015369360436295,new_geo_context;unseen_reference_location,0.0,no_risky_communication_context,0.0,no_audio_context,0.4173520061792056,stable_profile,0.363855828207984,sender_amount_outlier;sender_vs_reference_outlier;new_payment_method;unseen_method_in_reference | rapid_sequence;unusual_hour;unusual_weekday;rare_vs_reference_hour | stable_profile,True,0.35
9871fab0-0dc1-4199-a2e9-6223d27e8b45,SPNC-SRAA-7F1-IND-0,,transfer,1900.19,,,US86K4608896011535163593949,IT91A1799687963808329261492465,31901.03,Supplier payment for inventory,2087-06-12 19:33:57+00:00,SPNC-SRAA,,7.0,,7.0,,7.0,,0.95,0.0,Sara,Spencer,Sara Spencer,sara spencer,Indianapolis,39.7771,-86.1458,46700.0,Retail Entrepreneur,US86K4608896011535163593949,SPNC-SRAA,,,,,,,,,,,,,,39.7825,-86.1668,2087-06-12 05:42:03+00:00,62,102,0,,14.053548305887928,39.46011738648948,141.465,320.37287869184985,84.41000000000001,51.21,206.77583541379343,31.605,14.053548305887928,39.46011738648948,"('SPNC-SRAA-7F1-IND-0', '')",1,0,0,0,0,1,0,1,1,30,0,0.0,2.0,8.0,0.0,0.0,0.9335647000495786,0.8438274665344572,0.9335647000495786,0.8438274665344572,,,0.0,0.0,1,0.23464437633842347,3.0,0.0,0.0,0.0,0.5681966077248414,0.056816716174788034,0.3125066619498147,0.6512506661949815,sender_amount_outlier;recipient_amount_outlier;sender_vs_reference_outlier;recipient_vs_reference_outlier,0.516300941993059,rapid_sequence;unusual_hour;unusual_weekday;rare_vs_reference_hour,0.1,unseen_reference_location,0.002870166511595546,"sms:heuristic_sms: kw=0, domain=0, url=1",0.0,no_audio_context,0.4988429503155564,stable_profile,0.36288771848342033,sender_amount_outlier;recipient_amount_outlier;sender_vs_reference_outlier;recipient_vs_reference_outlier | rapid_sequence;unusual_hour;unusual_weekday;rare_vs_reference_hour | stable_profile,True,0.35
102f511e-6d04-4bc9-9811-4468f7fa12df,LDCK-SLVT-7F8-MUN-0,TRDMR80928,transfer,3365.17,,,DE71D4674228693667840434176,IT92Z6900288202317834238098209,50175.72,Emergency fund transfer,2087-03-04 08:03:08+00:00,LDCK-SLVT,,5.0,,5.0,,5.0,,0.95,0.0,Salvatore,Ladeck,Salvatore Ladeck,salvatore ladeck,Munich,48.1375,11.575,100000.0,Investor,DE71D4674228693667840434176,LDCK-SLVT,,,,,,,,,,,,,,48.1285,11.5723,2087-03-04 05:04:35+00:00,64,102,0,,17.5058265625,13.381080992229526,209.19,719.8695000567079,121.6,212.135,1610.7538319344972,158.935,17.5058265625,13.381080992229526,"('LDCK-SLVT-7F8-MUN-0', 'TRDMR80928')",1,0,0,0,0,1,0,1,1,23,0,0.0,2.0,4.0,40196.0,0.0,0.9360436291522063,0.8626673277144273,0.9360436291522063,0.8626673277144273,,,0.0,0.0,1,0.9073368466193258,4.0,0.0,0.0,0.0,0.7077610451208642,0.18682146689899115,0.4472912560099277,0.6647291256009927,sender_amount_outlier;recipient_amount_outlier;sender_vs_reference_outlier;recipient_vs_reference_outlier,0.5004457647833066,rapid_sequence;unusual_hour;unusual_weekday;rare_vs_reference_hour,0.1,unseen_reference_location,0.005312920324381858,"sms:heuristic_sms: kw=0, domain=0, url=1",0.0,no_audio_context,0.4923337378020347,stable_profile,0.3627682468404576,sender_amount_outlier;recipient_amount_outlier;sender_vs_reference_outlier;recipient_vs_reference_outlier | rapid_sequence;unusual_hour;unusual_weekday;rare_vs_reference_hour | stable_profile,True,0.35
90223607-0971-4227-8966-54da453026dc,LDCK-SLVT-7F8-MUN-0,ENTLN46831,e-commerce,3368.54,BrightLane Commerce,Google Pay,DE71D4674228693667840434176,IT31F7860250683417726738359557,52499.07,,2087-03-17 19:34:23+00:00,LDCK-SLVT,,5.0,,5.0,,5.0,,0.95,0.0,Salvatore,Ladeck,Salvatore Ladeck,salvatore ladeck,Munich,48.1375,11.575,100000.0,Investor,DE71D4674228693667840434176,LDCK-SLVT,,,,,,,,,,,,,,48.133,11.5252,2087-03-17 02:10:32+00:00,64,102,0,,17.52451953125,63.35733568406206,209.19,719.8695000567079,121.6,38.64,1932.833469934748,35.45,17.52451953125,63.35733568406206,"('LDCK-SLVT-7F8-MUN-0', 'ENTLN46831')",1,0,0,0,1,1,0,0,0,0,0,2.0,2.0,6.0,0.0,0.0,0.9335647000495786,0.8606841844323252,0.9335647000495786,0.8606841844323252,,,0.0,0.0,1,0.16331165539793133,3.0,0.0,0.0,0.0,0.795114775620885,0.006971175119361453,0.4010429753701232,0.6101042975370122,sender_amount_outlier;recipient_amount_outlier;sender_vs_reference_outlier;recipient_vs_reference_outlier,0.5703237481408032,rapid_sequence;unusual_hour;unusual_weekday;rare_vs_reference_hour,0.1,unseen_reference_location,0.012708089614022628,"mail:heuristic_mail: kw=3, domain=0, url=1",0.0,no_audio_context,0.4525868666089123,stable_profile,0.356154671350604,sender_amount_outlier;recipient_amount_outlier;sender_vs_reference_outlier;recipient_vs_reference_outlier | rapid_sequence;unusual_hour;unusual_weekday;rare_vs_reference_hour | stable_profile,True,0.35
2a76d5c1-6690-4ca0-9343-f41ba6ccb873,PRKR-JLUI-7D4-AUR-0,,transfer,1100.4,,,US73J9650405635383123411206,IT33P9835241233456932089164864,7371.68,Home repair invoice payment,2087-02-23 17:50:32+00:00,PRKR-JLUI,,3.0,,3.0,,3.0,,0.95,0.0,Julie,Parker,Julie Parker,julie parker,Aurora,39.7083,-104.7237,26700.0,Retired,US73J9650405635383123411206,PRKR-JLUI,,,,,,,,,,,,,,39.7137,-104.7762,2087-02-23 14:00:18+00:00,133,102,0,,10.987440275650844,22.391351210251543,89.865,209.3947668000958,62.035,51.21,206.77583541379343,31.605,10.987440275650844,22.391351210251543,"('PRKR-JLUI-7D4-AUR-0', '')",1,0,0,0,0,1,0,1,1,27,0,0.0,2.0,6.0,0.0,0.0,0.9340604858701042,0.8681209717402082,0.9340604858701042,0.8681209717402082,,,0.0,0.0,1,0.13306588383133922,10.0,0.0,0.0,0.0,0.5714500880149089,0.07867530503193179,0.32506269652342035,0.652506269652342,sender_amount_outlier;recipient_amount_outlier;sender_vs_reference_outlier;recipient_vs_reference_outlier,0.5113054040654437,rapid_sequence;unusual_hour;unusual_weekday;rare_vs_reference_hour,0.1,unseen_reference_location,0.09314611868193746,"sms:heuristic_sms: kw=0, domain=0, url=1",0.0,no_audio_context,0.3660999817078521,stable_profile,0.35521030961658023,sender_amount_outlier;recipient_amount_outlier;sender_vs_reference_outlier;recipient_vs_reference_outlier | rapid_sequence;unusual_hour;unusual_weekday;rare_vs_reference_hour | stable_profile,True,0.35
